3_00	0.534142
3_01	0.565539
3_02	0.440453
3_03	0.489673
3_04	0.430674
3_05	0.638139
3_06	0.445024
3_07	0.480833
3_08	0.494594
3_09	0.500339
3_11	0.496913
3_12	0.504309
3_13	0.510906
3_14	0.506425
3_15	0.501232
3AVG	0.502613

4_00	0.752074
4_01	0.715537
4_02	0.752501
4_03	0.693911
4_04	1.146982
4_05	1.328056
4_06	0.806159
4_07	0.605088
4_08	1.142915
4_09	1.022774
4_11	0.711083
4_12	0.713486
4_13	0.651173
4_14	1.267241
4_15	0.668264
4AVG	0.817583866666667

5_00	1.395481
5_01	1.540695
5_02	1.420565
5_03	1.338675
5_04	1.313538
5_05	1.304581
5_06	1.755007
5_07	1.623569
5_08	1.232696
5_09	1.268073
5_11	1.335519
5_12	1.282823
5_13	1.160932
5_14	1.24419
5_15	1.48256
5AVG	1.379926933333333

6_00	3.04696
6_01	3.164394
6_02	3.541608
6_03	2.812802	
6_04	2.882779
6_05	2.139263
6_06	3.442792
6_07	2.242729
6_08	3.237304
6_09	3.435805
6_11	4.628852
6_12	5.0231
6_13	3.46533
6_14	2.40496
6_15	1.911081
6AVG	3.1586506

7_00	7.060201
7_01	7.685507
7_02	9.079666
7_03	8.095905
7_04	8.749481
7_05	11.75934
7_06	7.60606
7_07	8.037702
7_08	6.82482
7_09	8.687263
7_11	5.758989
7_12	5.080636
7_13	5.613935
7_14	6.66565
7_15	11.84313
7AVG	7.903219

8_00	9.997864
8_01	7.829397
8_02	7.183292
8_03	8.935985
8_04	7.368721
8_05	20.867
8_06	8.90463
8_07	9.25052
8_08	6.714528
8_09	14.037283
8_11	7.57753
8_12	7.100911
8_13	8.638408
8_14	6.67342
8_15	19.178616
8AVG	10.017207

9_00	12.037436
9_01	9.915635
9_02	9.873426
9_03	11.149863
9_04	12.522504
9_05	12.849601
9_06	10.550126
9_07	12.381345
9_08	11.636015
9_09	11.618731
9_11	9.541599
9_12	9.415952
9_13	11.417731
9_14	8.876864
9_15	13.071312
9AVG	10.496145866666667

10_00	15.994712
10_01	13.26283
10_02	10.388698
10_03	13.95702
10_04	11.903108
10_05	23.87039
10_06	11.657501
10_07	17.927135
10_08	13.687482
10_09	25.905762
10_11	21.413733
10_12	21.506831
10_13	15.551513
10_14	11.52856
10_15	18.621991
10AVG	16.4784844
